timestamp,leftDistance,rightDistance,collisionFrames,fitEvents,currentFPS
154.582,0.0352,0,19853,4,138.95
154.691,0.0351,0,19869,4,147.36
154.785,0.0351,0,19885,4,170.78
154.881,0.0351,0,19898,4,135.1
154.999,0.0351,0,19915,4,144.12
155.08,0.035,0,19929,4,171.86
155.184,0.0349,0,19944,4,144.41
155.302,0.0349,0,19961,4,144.12
155.385,0.0349,0,19975,4,168.94
155.485,0.0346,0,19989,4,140.03
155.582,0.0331,0,20006,4,174.87
155.683,0.0309,0,20020,4,138.26
155.781,0.0309,0,20034,4,143.04
155.884,0.0308,0,20051,4,166.26
155.986,0.0308,0,20065,4,137.31
156.085,0.0308,0,20079,4,140.79
156.183,0.0307,0,20096,4,173.06
156.283,0.0307,0,20110,4,139.7
156.383,0.0309,0,20124,4,140.78
156.482,0.0309,0,20141,4,170.71
156.581,0.0309,0,20155,4,141.82
156.686,0.0309,0,20170,4,143.26
156.786,0.0309,0,20187,4,170.03
156.885,0.0309,0,20200,4,131.75
156.983,0.0309,0,20213,4,132.38
157.081,0.0309,0,20230,4,173.07
157.186,0.0309,0,20245,4,142.96
157.287,0.0308,0,20259,4,138.76
157.381,0.0308,0,20275,4,170.2
157.486,0.0309,0,20290,4,142.98
157.589,0.0308,0,20305,4,145.11
157.682,0.0307,0,20321,4,171.78
157.781,0.0307,0,20335,4,142
157.899,0.0307,0,20352,4,144.32
157.984,0.0307,0,20366,4,164.32
158.08,0.0307,0,20379,4,134.95
158.2,0.0306,0,20397,4,150.25
158.281,0.0305,0,20411,4,171.8
158.38,0.0305,0,20425,4,141.29
158.502,0.0305,0,20443,4,148.56
158.584,0.0306,0,20457,4,170.17
158.682,0.0306,0,20471,4,142.12
158.781,0.0306,0,20488,4,172.49
158.882,0.0305,0,20502,4,138.59
158.981,0.0305,0,20515,4,131.25
159.082,0.0305,0,20532,4,167.7
159.185,0.0305,0,20546,4,136.4
159.283,0.0305,0,20560,4,142.88
159.381,0.0305,0,20577,4,173.44
159.48,0.0305,0,20591,4,141.18
159.585,0.0304,0,20606,4,142.8
159.682,0.0303,0,20623,4,175.35
159.781,0.0303,0,20637,4,141.34
159.885,0.0303,0,20652,4,145.03
159.982,0.0302,0,20668,4,164.04
160.081,0.0302,0,20681,4,131.46
160.183,0.0302,0,20695,4,137.12
160.285,0.0302,0,20713,4,177.15
160.385,0.0302,0,20727,4,139.4
160.482,0.0302,0,20741,4,144.21
160.58,0.0302,0,20758,4,173.81
160.683,0.0301,0,20773,4,145.77
